"Entry","Time"
"Apply stake to all singles","13:52:03"
"$","13:52:03"
"-286 9-280","13:52:03"
"New Zealand v Australia","13:52:03"
"Markets (6)","13:52:03"
"New Zealand 4.10","13:52:03"
"New Zealand","13:52:03"
"4.10","13:52:03"
"Australia 1.24","13:52:03"
"Australia","13:52:03"
"1.24","13:52:03"
"Betting temporarily suspended - Markets are being updated","13:52:03"
"Upcoming17:05","13:52:03"
"M Minella v J Cepelova","13:52:03"
"Markets (30)","13:52:03"
"M Minella 2.49","13:52:03"
"M Minella","13:52:03"
"2.49","13:52:03"
"J Cepelova 1.49","13:52:03"
"J Cepelova","13:52:03"
