"Entry","Time"
"Apply stake to all singles","13:50:03"
"$","13:50:03"
"-286 9-268","13:50:03"
"New Zealand v Australia","13:50:03"
"Markets (6)","13:50:03"
"New Zealand 1.90","13:50:03"
"New Zealand","13:50:03"
"1.90","13:50:03"
"Australia 1.90","13:50:03"
"Australia","13:50:03"
"1.90","13:50:03"
"Betting temporarily suspended - Markets are being updated","13:50:03"
"Upcoming17:05","13:50:03"
"M Minella v J Cepelova","13:50:03"
"Markets (30)","13:50:03"
"M Minella 2.49","13:50:03"
"M Minella","13:50:03"
"2.49","13:50:03"
"J Cepelova 1.49","13:50:03"
"J Cepelova","13:50:03"
