"Entry","Time"
"Apply stake to all singles","13:50:24"
"$","13:50:24"
"-286 9-268","13:50:24"
"New Zealand v Australia","13:50:24"
"Markets (6)","13:50:24"
"New Zealand 1.90","13:50:24"
"New Zealand","13:50:24"
"1.90","13:50:24"
"Australia 1.90","13:50:24"
"Australia","13:50:24"
"1.90","13:50:24"
"Betting temporarily suspended - Markets are being updated","13:50:24"
"Upcoming17:05","13:50:24"
"M Minella v J Cepelova","13:50:24"
"Markets (30)","13:50:24"
"M Minella 2.49","13:50:24"
"M Minella","13:50:24"
"2.49","13:50:24"
"J Cepelova 1.49","13:50:24"
"J Cepelova","13:50:24"
