"Entry","Time"
"Apply stake to all singles","13:50:14"
"$","13:50:14"
"-286 9-268","13:50:14"
"New Zealand v Australia","13:50:14"
"Markets (6)","13:50:14"
"New Zealand 1.90","13:50:14"
"New Zealand","13:50:14"
"1.90","13:50:14"
"Australia 1.90","13:50:14"
"Australia","13:50:14"
"1.90","13:50:14"
"Betting temporarily suspended - Markets are being updated","13:50:14"
"Upcoming17:05","13:50:14"
"M Minella v J Cepelova","13:50:14"
"Markets (30)","13:50:14"
"M Minella 2.49","13:50:14"
"M Minella","13:50:14"
"2.49","13:50:14"
"J Cepelova 1.49","13:50:14"
"J Cepelova","13:50:14"
