"Entry","Time"
"Apply stake to all singles","13:52:24"
"$","13:52:24"
"-286 9-280","13:52:24"
"New Zealand v Australia","13:52:24"
"Markets (6)","13:52:24"
"New Zealand 4.10","13:52:24"
"New Zealand","13:52:24"
"4.10","13:52:24"
"Australia 1.24","13:52:24"
"Australia","13:52:24"
"1.24","13:52:24"
"Betting temporarily suspended - Markets are being updated","13:52:24"
"Upcoming17:05","13:52:24"
"M Minella v J Cepelova","13:52:24"
"Markets (30)","13:52:24"
"M Minella 2.49","13:52:24"
"M Minella","13:52:24"
"2.49","13:52:24"
"J Cepelova 1.49","13:52:24"
"J Cepelova","13:52:24"
