"Entry","Time"
"Apply stake to all singles","13:43:37"
"$","13:43:37"
"-286 9-267","13:43:37"
"New Zealand v Australia","13:43:37"
"Markets (6)","13:43:37"
"New Zealand 1.90","13:43:37"
"New Zealand","13:43:37"
"1.90","13:43:37"
"Australia 1.90","13:43:37"
"Australia","13:43:37"
"1.90","13:43:37"
"Betting temporarily suspended - Markets are being updated","13:43:37"
"Upcoming17:05","13:43:37"
"M Minella v J Cepelova","13:43:37"
"Markets (30)","13:43:37"
"M Minella 2.49","13:43:37"
"M Minella","13:43:37"
"2.49","13:43:37"
"J Cepelova 1.49","13:43:37"
"J Cepelova","13:43:37"
