"Entry","Time"
"Apply stake to all singles","13:50:21"
"$","13:50:21"
"-286 9-268","13:50:21"
"New Zealand v Australia","13:50:21"
"Markets (6)","13:50:21"
"New Zealand 1.90","13:50:21"
"New Zealand","13:50:21"
"1.90","13:50:21"
"Australia 1.90","13:50:21"
"Australia","13:50:21"
"1.90","13:50:21"
"Betting temporarily suspended - Markets are being updated","13:50:21"
"Upcoming17:05","13:50:21"
"M Minella v J Cepelova","13:50:21"
"Markets (30)","13:50:21"
"M Minella 2.49","13:50:21"
"M Minella","13:50:21"
"2.49","13:50:21"
"J Cepelova 1.49","13:50:21"
"J Cepelova","13:50:21"
