"Entry","Time"
"Apply stake to all singles","13:52:01"
"$","13:52:01"
"-286 9-280","13:52:01"
"New Zealand v Australia","13:52:01"
"Markets (6)","13:52:01"
"New Zealand 4.10","13:52:01"
"New Zealand","13:52:01"
"4.10","13:52:01"
"Australia 1.24","13:52:01"
"Australia","13:52:01"
"1.24","13:52:01"
"Betting temporarily suspended - Markets are being updated","13:52:01"
"Upcoming17:05","13:52:01"
"M Minella v J Cepelova","13:52:01"
"Markets (30)","13:52:01"
"M Minella 2.49","13:52:01"
"M Minella","13:52:01"
"2.49","13:52:01"
"J Cepelova 1.49","13:52:01"
"J Cepelova","13:52:01"
