"Entry","Time"
"Apply stake to all singles","13:43:38"
"$","13:43:38"
"-286 9-267","13:43:38"
"New Zealand v Australia","13:43:38"
"Markets (6)","13:43:38"
"New Zealand 1.90","13:43:38"
"New Zealand","13:43:38"
"1.90","13:43:38"
"Australia 1.90","13:43:38"
"Australia","13:43:38"
"1.90","13:43:38"
"Betting temporarily suspended - Markets are being updated","13:43:38"
"Upcoming17:05","13:43:38"
"M Minella v J Cepelova","13:43:38"
"Markets (30)","13:43:38"
"M Minella 2.49","13:43:38"
"M Minella","13:43:38"
"2.49","13:43:38"
"J Cepelova 1.49","13:43:38"
"J Cepelova","13:43:38"
