"Entry","Time"
"Apply stake to all singles","13:52:07"
"$","13:52:07"
"-286 9-280","13:52:07"
"New Zealand v Australia","13:52:07"
"Markets (6)","13:52:07"
"New Zealand 4.10","13:52:07"
"New Zealand","13:52:07"
"4.10","13:52:07"
"Australia 1.24","13:52:07"
"Australia","13:52:07"
"1.24","13:52:07"
"Betting temporarily suspended - Markets are being updated","13:52:07"
"Upcoming17:05","13:52:07"
"M Minella v J Cepelova","13:52:07"
"Markets (30)","13:52:07"
"M Minella 2.49","13:52:07"
"M Minella","13:52:07"
"2.49","13:52:07"
"J Cepelova 1.49","13:52:07"
"J Cepelova","13:52:07"
