"Entry","Time"
"Apply stake to all singles","13:52:19"
"$","13:52:19"
"-286 9-280","13:52:19"
"New Zealand v Australia","13:52:19"
"Markets (6)","13:52:19"
"New Zealand 4.10","13:52:19"
"New Zealand","13:52:19"
"4.10","13:52:19"
"Australia 1.24","13:52:19"
"Australia","13:52:19"
"1.24","13:52:19"
"Betting temporarily suspended - Markets are being updated","13:52:19"
"Upcoming17:05","13:52:19"
"M Minella v J Cepelova","13:52:19"
"Markets (30)","13:52:19"
"M Minella 2.49","13:52:19"
"M Minella","13:52:19"
"2.49","13:52:19"
"J Cepelova 1.49","13:52:19"
"J Cepelova","13:52:19"
